Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Paratha,Vegetarian,Breakfast,North Indian,150,49,16,42,9,58,3.2,42.0,183,109,19,1.9,272,General Fitness,33,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,145,10,15,35,2,90,5.9,15.0,240,53,21,1.3,242,General Fitness,89,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,584,13,12,34,6,282,0.7,78.0,429,71,31,0.7,309,General Fitness,5,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,295,25,22,31,3,185,1.3,22.0,155,248,26,1.4,267,General Fitness,43,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,319,46,14,34,8,167,3.7,30.0,360,92,30,0.6,363,General Fitness,12,Non-Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,606,10,19,27,5,212,4.3,78.0,337,126,17,1.3,372,General Fitness,47,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,505,35,36,22,3,287,1.4,21.0,334,129,28,0.5,346,General Fitness,88,Non-Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,588,14,6,47,10,203,2.4,76.0,215,83,8,1.4,303,General Fitness,27,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,500,25,28,27,1,34,2.7,73.0,198,219,31,1.5,391,General Fitness,32,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,280,50,24,12,8,185,2.4,62.0,324,128,29,1.7,223,General Fitness,76,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,263,15,29,43,10,175,1.8,53.0,418,188,15,0.0,150,General Fitness,78,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,210,45,26,2,6,67,1.6,75.0,479,80,7,1.2,297,General Fitness,66,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,635,63,13,9,1,271,3.5,72.0,104,179,10,1.2,266,General Fitness,40,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,321,32,15,30,7,121,3.5,40.0,438,221,16,0.9,275,General Fitness,45,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,659,30,21,9,7,21,2.3,45.0,143,213,10,0.9,206,General Fitness,8,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,411,54,33,33,1,35,0.7,29.0,369,53,29,1.2,101,General Fitness,40,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,659,12,30,31,8,214,3.8,17.0,408,134,28,1.2,114,General Fitness,36,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,537,57,32,18,1,188,2.6,34.0,485,95,9,1.2,119,General Fitness,8,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,637,35,30,21,7,80,4.2,19.0,437,135,22,1.3,244,General Fitness,79,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,594,75,5,28,5,287,2.4,66.0,173,244,20,1.2,342,General Fitness,56,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,340,71,5,19,4,157,0.9,47.0,368,87,18,0.0,240,General Fitness,74,Veg,General Fitness,No
